description,x,y,n
C&O Canal Bike Trail,-77.100427,38.919322,01
Georgetown Waterfront,-77.065318,38.902852,02
Blues Alley Club,-77.062226,38.907224,03
Kennedy Center,-77.05455,38.896093,04
Phillips Collection,-77.046668,38.911803,05
National Cathedral,-77.071093,38.930475,06
Hains Point,-77.025357,38.867941,07
National Gallery of Art,-77.019895,38.890783,08
Beach Drive,-77.044682,38.95169,09
3 Stars Brewing,-77.012222,38.967616,10
Logan Circle,-77.029636,38.909642,11
Blagden Alley,-77.025076,38.903961,12
Union Market,-76.998126,38.908665,13
Georgia Ave,-77.028314,38.956784,14
Ivy City,-76.984294,38.913934,15
